review_scores_rating,accommodates,guests_included,availability_365,number_of_reviews_ltm,minimum_nights_avg_ntm,maximum_nights_avg_ntm,bathrooms,bedrooms,beds,host_listings_count,price,extra_people,security_deposit,cleaning_fee,host_response_rate,maximum_nights,minimum_nights,city,host_response_time,property_type,room_type,bed_type,cancellation_policy,is_location_exact,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,neighbourhood_cleansed,first_review,last_review,host_since
98.0,2,1,358,3,30,30,1.0,1.0,1.0,1.0,125,25,500.0,100.0,,30,30,San Francisco,,Loft,Entire home/apt,Real Bed,moderate,True,True,True,True,True,False,True,True,37.7958,-122.41533000000001,Nob Hill,3440.0,250.0,3525.0
78.0,2,1,365,0,32,90,4.0,1.0,1.0,10.0,65,12,200.0,50.0,86,90,32,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.7648,-122.45251,Haight Ashbury,2947.0,788.0,3768.0
97.0,2,2,0,58,3,14,1.0,1.0,1.0,1.0,155,0,200.0,60.0,100,14,3,San Francisco,within a few hours,House,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,True,True,True,True,37.75963,-122.44143000000001,Castro/Upper Market,3406.0,5.0,3498.0
92.0,3,2,316,39,3,28,1.0,1.0,2.0,1.0,180,25,250.0,80.0,100,28,3,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,False,37.74885,-122.43673000000001,Noe Valley,3457.0,13.0,3487.0
98.0,2,2,158,33,2,29,1.0,1.0,1.0,2.0,155,20,500.0,80.0,100,29,2,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,True,37.75645,-122.3991,Potrero Hill,3422.0,2.0,3486.0
96.0,1,1,292,25,1,1125,1.0,1.0,1.0,1.0,79,0,,,100,1125,1,San Francisco,within a day,Apartment,Private room,Real Bed,flexible,True,True,False,False,False,True,True,True,37.77162,-122.43836,Haight Ashbury,3368.0,21.0,3483.0
96.0,4,4,73,52,5,31,1.0,1.0,1.0,3.0,195,20,0.0,20.0,100,31,5,San Francisco,within an hour,Guest suite,Entire home/apt,Real Bed,moderate,True,True,True,False,False,True,True,True,37.78716,-122.43386000000001,Western Addition,3474.0,1.0,3483.0
99.0,2,1,336,16,5,28,1.0,1.0,1.0,1.0,150,10,,25.0,100,28,5,San Francisco,within a few hours,House,Private room,Real Bed,moderate,True,True,False,False,False,True,True,True,37.74188,-122.43122,Noe Valley,1209.0,6.0,3477.0
98.0,2,1,45,44,3,29,1.0,1.0,1.0,3.0,110,0,150.0,30.0,100,29,3,San Francisco,within a few hours,Townhouse,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,True,37.77729,-122.43421000000001,Western Addition,3274.0,15.0,3550.0
95.0,3,2,267,24,4,180,1.0,0.0,1.0,1.0,125,30,300.0,50.0,100,180,4,San Francisco,within a few hours,House,Private room,Real Bed,moderate,True,True,False,False,False,True,True,True,37.76212,-122.39541000000001,Potrero Hill,3375.0,10.0,3472.0
91.0,10,4,16,4,2,30,2.0,4.0,7.0,2.0,450,30,500.0,160.0,100,30,2,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,False,True,True,37.77478,-122.4315,Western Addition,2997.0,115.0,3461.0
100.0,2,2,58,3,30,1125,1.0,1.0,1.0,1.0,125,0,3000.0,125.0,,1125,30,San Francisco,,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,False,37.76298,-122.43136000000001,Castro/Upper Market,3439.0,28.0,3452.0
96.0,4,2,3,2,1,29,1.0,1.0,2.0,2.0,199,50,0.0,75.0,100,29,1,San Francisco,within an hour,Condominium,Private room,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,False,37.760979999999996,-122.42158,Mission,1623.0,77.0,3909.0
97.0,4,5,41,4,4,70,2.0,2.0,2.0,3.0,220,0,100.0,140.0,100,70,4,San Francisco,within a few hours,House,Entire home/apt,Real Bed,strict_14_with_grace_period,False,True,False,True,True,True,True,True,37.73729,-122.41163,Bernal Heights,3008.0,59.0,3435.0
99.0,4,2,259,25,2,30,1.0,1.0,2.0,1.0,155,20,,,100,30,2,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,flexible,True,True,False,False,False,True,True,True,37.779309999999995,-122.50518000000001,Outer Richmond,3344.0,5.0,3435.0
96.0,2,2,284,1,30,30,1.0,1.0,2.0,1.0,150,10,200.0,0.0,100,30,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,False,37.74025,-122.41259,Bernal Heights,3381.0,14.0,3413.0
99.0,2,1,322,19,1,14,1.0,1.0,0.0,2.0,240,0,0.0,110.0,100,14,1,San Francisco,within an hour,House,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,False,37.76526,-122.3973,Potrero Hill,3309.0,3.0,3405.0
96.0,2,2,365,0,30,1125,1.0,1.0,1.0,28.0,107,50,,155.0,100,1125,30,San Francisco,within a few hours,Guest suite,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.7483,-122.42488,Noe Valley,2959.0,779.0,3433.0
98.0,2,2,305,1,60,730,1.0,0.0,1.0,2.0,94,50,500.0,65.0,100,730,60,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,False,True,True,37.74093,-122.42055,Bernal Heights,2988.0,54.0,3373.0
92.0,2,2,74,2,30,400,1.0,1.0,1.0,6.0,108,20,200.0,50.0,92,400,30,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,True,True,True,True,37.76016,-122.41968999999999,Mission,3318.0,208.0,3371.0
96.0,1,1,287,2,30,100,1.0,1.0,1.0,1.0,67,45,,35.0,50,100,30,San Francisco,within a day,Apartment,Private room,Real Bed,moderate,True,True,False,True,True,False,True,True,37.78255,-122.44843999999999,Presidio Heights,3241.0,57.0,3371.0
94.0,3,3,0,15,4,29,1.0,1.0,1.0,4.0,159,0,150.0,120.0,100,29,4,San Francisco,within a few hours,House,Entire home/apt,Real Bed,flexible,True,True,False,False,False,True,True,True,37.76125,-122.43335,Castro/Upper Market,3325.0,81.0,3368.0
98.0,2,2,320,42,3,30,2.0,1.0,1.0,1.0,127,50,0.0,50.0,100,30,3,San Francisco,within an hour,House,Private room,Real Bed,moderate,True,True,False,False,False,True,True,True,37.740829999999995,-122.41763,Bernal Heights,3329.0,1.0,3621.0
96.0,4,1,274,9,30,365,1.0,2.0,2.0,0.0,290,0,2000.0,120.0,100,365,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.75611,-122.41866,Mission,2534.0,212.0,3365.0
89.0,3,1,234,2,30,90,1.0,0.0,1.0,1.0,136,0,,,100,90,30,San Francisco,within a day,House,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,False,37.73557,-122.43302,Glen Park,3334.0,66.0,3364.0
93.0,2,2,363,0,30,1125,1.0,0.0,2.0,28.0,85,50,0.0,155.0,100,1125,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.73356,-122.41851000000001,Bernal Heights,2913.0,864.0,3433.0
87.0,2,2,286,0,30,365,1.0,1.0,2.0,28.0,85,50,,155.0,100,365,30,San Francisco,within a few hours,House,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.73404,-122.41781,Bernal Heights,2939.0,1285.0,3433.0
91.0,2,1,41,2,10,28,1.5,1.0,1.0,1.0,104,0,200.0,0.0,,28,10,San Francisco,,Apartment,Entire home/apt,Futon,moderate,True,True,False,False,False,False,True,False,37.75117,-122.41326000000001,Mission,2841.0,55.0,3368.0
80.0,3,4,346,0,30,1125,1.0,2.0,2.0,28.0,150,50,0.0,205.0,100,1125,30,San Francisco,within a few hours,Guest suite,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.75447,-122.38813,Potrero Hill,2053.0,784.0,3433.0
56.0,2,2,308,0,30,1125,1.0,2.0,2.0,28.0,110,50,0.0,244.0,100,1125,30,San Francisco,within a few hours,Guest suite,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.77272,-122.44084,Haight Ashbury,3309.0,456.0,3433.0
97.0,2,1,163,4,30,98,1.0,1.0,2.0,2.0,95,0,2000.0,75.0,100,98,30,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,True,True,True,True,37.75145,-122.41207,Mission,3340.0,49.0,3487.0
100.0,4,2,101,0,30,60,1.0,1.0,2.0,2.0,175,10,1000.0,120.0,,60,30,San Francisco,,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.75121,-122.42165,Mission,3341.0,3296.0,3350.0
94.0,2,1,4,26,3,30,1.0,0.0,2.0,4.0,116,0,100.0,75.0,100,30,3,San Francisco,within a few hours,Guest suite,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.76068,-122.43331,Castro/Upper Market,3344.0,13.0,3368.0
96.0,2,1,135,77,1,180,3.0,1.0,1.0,3.0,125,10,0.0,30.0,86,180,1,San Francisco,within a few hours,House,Private room,Real Bed,moderate,True,True,True,False,True,True,True,False,37.77248,-122.43016000000001,Western Addition,2555.0,11.0,3344.0
97.0,2,2,335,2,30,365,1.0,2.0,1.0,1.0,78,40,400.0,150.0,100,365,30,San Francisco,within a few hours,House,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.725359999999995,-122.46861000000001,Ocean View,3291.0,33.0,3332.0
96.0,2,2,357,2,30,365,1.0,1.0,1.0,9.0,120,20,500.0,160.0,100,365,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,False,37.7925,-122.42431,Pacific Heights,3317.0,43.0,3330.0
100.0,4,2,365,0,365,365,1.0,2.0,2.0,1.0,9999,15,300.0,80.0,,365,365,San Francisco,,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,True,False,True,True,37.765190000000004,-122.45613,Inner Sunset,3308.0,2525.0,3313.0
98.0,2,2,312,3,30,180,1.0,1.0,1.0,1.0,119,0,100.0,175.0,100,180,30,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,True,37.771209999999996,-122.42833999999999,Western Addition,3306.0,38.0,3312.0
92.0,1,1,266,4,30,730,0.0,1.0,1.0,9.0,55,0,0.0,50.0,100,730,30,San Francisco,within a few hours,Apartment,Private room,Real Bed,moderate,True,True,False,False,False,True,True,False,37.79312,-122.426,Pacific Heights,3083.0,75.0,3330.0
98.0,2,1,275,24,3,30,1.0,1.0,1.0,3.0,90,0,100.0,60.0,100,30,3,San Francisco,within a few hours,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,True,37.73878,-122.41188999999999,Bernal Heights,3287.0,11.0,3435.0
